dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,8.578886,11.250000,8.578891,3.352089,-3.549750,-10.000000,0.000000
0.010000,8.612042,11.250000,8.612047,3.315591,-3.649750,-10.000000,0.000000
0.010000,8.644823,11.250000,8.644828,3.278094,-3.749750,-10.000000,0.000000
0.010000,8.677219,11.250000,8.677224,3.239596,-3.849750,-10.000000,0.000000
0.010000,8.709220,11.250000,8.709225,3.200099,-3.949750,-10.000000,0.000000
0.010000,8.740821,11.250000,8.740826,3.160100,-3.999875,-5.012500,0.000000
0.010000,8.772022,11.250000,8.772027,3.120100,-4.000000,-0.012500,0.000000
0.010000,8.802823,11.250000,8.802828,3.080100,-4.000000,0.000000,0.000000
0.010000,8.833224,11.250000,8.833229,3.040100,-4.000000,-0.000000,0.000000
0.010000,8.863225,11.250000,8.863230,3.000100,-4.000000,0.000000,0.000000
0.010000,8.892826,11.250000,8.892831,2.960100,-4.000000,-0.000000,0.000000
0.010000,8.922027,11.250000,8.922032,2.920100,-4.000000,0.000000,0.000000
0.010000,8.950828,11.250000,8.950833,2.880100,-4.000000,-0.000000,0.000000
0.010000,8.979229,11.250000,8.979234,2.840100,-4.000000,0.000000,0.000000
0.010000,9.007230,11.250000,9.007235,2.800100,-4.000000,-0.000000,0.000000
0.010000,9.034831,11.250000,9.034836,2.760100,-4.000000,0.000000,0.000000
0.010000,9.062032,11.250000,9.062037,2.720100,-4.000000,-0.000000,0.000000
0.010000,9.088833,11.250000,9.088838,2.680100,-4.000000,0.000000,0.000000
0.010000,9.115234,11.250000,9.115239,2.640100,-4.000000,-0.000000,0.000000
0.010000,9.141235,11.250000,9.141240,2.600100,-4.000000,0.000000,0.000000
0.010000,9.166836,11.250000,9.166841,2.560100,-4.000000,-0.000000,0.000000
0.010000,9.192037,11.250000,9.192042,2.520100,-4.000000,0.000000,0.000000
0.010000,9.216838,11.250000,9.216843,2.480100,-4.000000,-0.000000,0.000000
0.010000,9.241239,11.250000,9.241244,2.440100,-4.000000,0.000000,0.000000
0.010000,9.265240,11.250000,9.265245,2.400100,-4.000000,-0.000000,0.000000
0.010000,9.288841,11.250000,9.288846,2.360100,-4.000000,0.000000,0.000000
0.010000,9.312042,11.250000,9.312047,2.320100,-4.000000,-0.000000,0.000000
0.010000,9.334843,11.250000,9.334848,2.280100,-4.000000,0.000000,0.000000
0.010000,9.357244,11.250000,9.357249,2.240100,-4.000000,-0.000000,0.000000
0.010000,9.379245,11.250000,9.379250,2.200100,-4.000000,0.000000,0.000000
0.010000,9.400846,11.250000,9.400851,2.160100,-4.000000,-0.000000,0.000000
0.010000,9.422047,11.250000,9.422052,2.120100,-4.000000,0.000000,0.000000
0.010000,9.442848,11.250000,9.442853,2.080100,-4.000000,0.000000,0.000000
0.010000,9.463249,11.250000,9.463254,2.040100,-4.000000,-0.000000,0.000000
0.010000,9.483250,11.250000,9.483255,2.000100,-4.000000,0.000000,0.000000
0.010000,9.502851,11.250000,9.502856,1.960100,-4.000000,-0.000000,0.000000
0.010000,9.522052,11.250000,9.522057,1.920100,-4.000000,0.000000,0.000000
0.010000,9.540853,11.250000,9.540858,1.880100,-4.000000,-0.000000,0.000000
0.010000,9.559254,11.250000,9.559259,1.840100,-4.000000,0.000000,0.000000
0.010000,9.577255,11.250000,9.577260,1.800100,-4.000000,-0.000000,0.000000
0.010000,9.594856,11.250000,9.594861,1.760100,-4.000000,0.000000,0.000000
0.010000,9.612057,11.250000,9.612062,1.720100,-4.000000,-0.000000,0.000000
0.010000,9.628858,11.250000,9.628863,1.680100,-4.000000,0.000000,0.000000
0.010000,9.645259,11.250000,9.645264,1.640100,-4.000000,-0.000000,0.000000
0.010000,9.661260,11.250000,9.661265,1.600100,-4.000000,0.000000,0.000000
0.010000,9.676861,11.250000,9.676866,1.560100,-4.000000,-0.000000,0.000000
0.010000,9.692062,11.250000,9.692067,1.520100,-4.000000,0.000000,0.000000
0.010000,9.706863,11.250000,9.706868,1.480100,-4.000000,0.000000,0.000000
0.010000,9.721264,11.250000,9.721269,1.440100,-4.000000,-0.000000,0.000000
0.010000,9.735265,11.250000,9.735270,1.400100,-4.000000,0.000000,0.000000
0.010000,9.748866,11.250000,9.748871,1.360100,-4.000000,-0.000000,0.000000
0.010000,9.762067,11.250000,9.762072,1.320100,-4.000000,0.000000,0.000000
0.010000,9.774868,11.250000,9.774873,1.280100,-4.000000,0.000000,0.000000
0.010000,9.787269,11.250000,9.787274,1.240100,-4.000000,0.000000,0.000000
0.010000,9.799270,11.250000,9.799275,1.200100,-4.000000,-0.000000,0.000000
